PROTOCOL,MIN LATENCY [ms],MAX LATENCY [ms],AVG LATENCY [ms],JITTER [ms]
TCP,36.236,43.94,39.09604499999999,1.667020202020202
UDP,17.688,27.657,20.63789999999999,1.5874191919191911
